text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @LambaAlka: This is the real kind of discussion which India needs at this hour.. .

#Covid_19 #lockdown 

#RaghuramRajan #RahulGandhi",FALSE,0,NA,2020-04-30T04:06:41Z,FALSE,NA,1255710137777401861,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JamirSayyad8,50,TRUE,FALSE,NA,NA
"RT @CancilleriaVE: En septiembre 2017, el Banco Wells Fargo en EEUU se neg a tramitar un pago de 1,5 millones de dlares, destinado a canc",FALSE,0,NA,2020-04-30T04:06:40Z,FALSE,NA,1255710134262775810,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Vhzg15,13,TRUE,FALSE,NA,NA
Plaintes autour du #Covid_19: quand les #avocats se substituent  une opposition absente - https://t.co/NC9Xt6p0hs,FALSE,0,NA,2020-04-30T04:06:40Z,TRUE,NA,1255710133038075904,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",jclvallee1,0,FALSE,FALSE,NA,NA
"RT @rijecas: Por favor @ClaudiaLopez, ahora no salgan con el cuento de qu fue a Casa de Nario a darle instrucciones a @IvanDuque, sobre c",FALSE,0,NA,2020-04-30T04:06:38Z,FALSE,NA,1255710125429579776,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",martharooo,10,TRUE,FALSE,NA,NA
"RT @La_defense2: La cruda vida de pandemia en los campamentos de Via y #Valparaso.
La mayora de los jefes de familia trabaja el da o",FALSE,0,NA,2020-04-30T04:06:38Z,FALSE,NA,1255710124875952128,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",La_defense2,5,TRUE,FALSE,NA,NA
"RT @LambaAlka: This is the real kind of discussion which India needs at this hour.. .

#Covid_19 #lockdown 

#RaghuramRajan #RahulGandhi",FALSE,0,NA,2020-04-30T04:06:38Z,FALSE,NA,1255710124271906816,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ImranMi47375939,50,TRUE,FALSE,NA,NA
"RT @oyeestoo: No pierdas el buen nimo y la esperanza en Dios, porque es en los momentos difciles cuando nuestra fe est a prueba. Esto es",FALSE,0,NA,2020-04-30T04:06:37Z,FALSE,NA,1255710122254438400,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vianitzel,11,TRUE,FALSE,NA,NA
RT @docvjg: This lady is working in a ICU deptt. in hospital where covid patients are treated.She came home after 20 days of non-stop servi,FALSE,0,NA,2020-04-30T04:06:36Z,FALSE,NA,1255710117116297217,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",humatahir,997,TRUE,FALSE,NA,NA
"RT @prasitchai_k: '    

""   ",FALSE,0,NA,2020-04-30T04:06:34Z,FALSE,NA,1255710109218385920,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",laloorose,3887,TRUE,FALSE,NA,NA
"RT @TheRitamApp:            #Covid_19  (, , ,  ",FALSE,0,NA,2020-04-30T04:06:34Z,FALSE,NA,1255710108031627266,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ArvindKaul9,1,TRUE,FALSE,NA,NA
