text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @DrAMSinghvi: 1/2Worst aspect of #covid, brings tears 2me daily. Poor women, men, new born babies, dying daily cos hospitals refuse them",FALSE,0,NA,2020-04-30T04:06:02Z,FALSE,NA,1255709974543495168,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kronkareshwar,11,TRUE,FALSE,NA,NA
RT @Kumkum26:   @ABPNews  # #coronavirus #COVID #CoronaWarriors https://t.co/MR1UT1JPMK,FALSE,0,NA,2020-04-30T04:05:58Z,FALSE,NA,1255709958672461824,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kamboj_anita,1,TRUE,FALSE,NA,NA
"RT @rifatabdullahh: #COVID-19
My friend Harkrishan Singh Sanam has composed and sung this song for you.
""Deeray Deeray Sabar ko Badana hay,",FALSE,0,NA,2020-04-30T04:05:57Z,FALSE,NA,1255709952984793089,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IMalikImraan,3,TRUE,FALSE,NA,NA
MIDES habilita personal mdico para atender las Casas Hogares y Albergues durante la pandemia del #COVID-19. https://t.co/NGA6nMf6dT,FALSE,0,NA,2020-04-30T04:05:55Z,TRUE,NA,1255709943640006664,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SertvNoticias,0,FALSE,FALSE,NA,NA
@reckfuI #COVID,FALSE,2,reckfuI,2020-04-30T04:05:54Z,FALSE,1255709833766014976,1255709939059867651,4886507530,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wtfnike,0,FALSE,FALSE,NA,NA
"Stay home if you sick, come ova if you thic  best #coronavirus mask Ive made yet. #mask4mask #covid https://t.co/uQHm8npkz2",FALSE,0,NA,2020-04-30T04:05:53Z,FALSE,NA,1255709938187472902,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",palmer_proper,0,FALSE,FALSE,NA,NA
RT @Valdiguie: A quoi servent les points quotidiens de Jrme Salomon sil faut attendre une alerte anglaise pour que Necker confirme ensui,FALSE,0,NA,2020-04-30T04:05:49Z,FALSE,NA,1255709920835575809,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",iAmKHenriCk91,652,TRUE,FALSE,NA,NA
"RT @AFThunderbirds: We salute the Americans on the front lines in New York City, Newark, and Philadelphia as they battle #COVID. It was an",FALSE,0,NA,2020-04-30T04:05:42Z,FALSE,NA,1255709888975564801,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",harukasaku,501,TRUE,FALSE,NA,NA
@RahulGandhi .@RahulGandhi: The way we treating migrants is very different from the way elites are being treated. T https://t.co/VFTej7q7GX,FALSE,0,thevikaslohchab,2020-04-30T04:05:42Z,TRUE,1255707896282705921,1255709888950317060,775243544134955008,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",thevikaslohchab,0,FALSE,FALSE,NA,NA
RT @soyfdelrincon: #Ecuador: Con una media sonrisa dibujada en su rostro el portavoz de @Lenin me responde que mensaje tiene para quines p,FALSE,0,NA,2020-04-30T04:05:41Z,FALSE,NA,1255709884848406529,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",miguel2456_b,2924,TRUE,FALSE,NA,NA
RT @evankirstel: Scientists link vitamin D deficiencies to higher COVID-19 mortality rates https://t.co/B4uCSmSEp8 @IrmaRaste @eViRaHealth,FALSE,0,NA,2020-04-30T04:05:39Z,FALSE,NA,1255709878854791169,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EvaSmartAI,8,TRUE,FALSE,NA,NA
"I didnt choose the thug life, the thug life chose me. 

#COVID #coronavirus #tirta 
@xeniatchoumi https://t.co/mWd0QpEJDP",FALSE,1,NA,2020-04-30T04:05:36Z,FALSE,NA,1255709866590642183,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",akashmerchan,0,FALSE,FALSE,NA,NA
RT @EcuadorCut: #Urgente| Rechazamos y exigimos la derogatoria de la Resolucin MDT 022-020 que violenta los derechos laborales de trabajad,FALSE,0,NA,2020-04-30T04:05:36Z,FALSE,NA,1255709866250903552,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jdtq1981,116,TRUE,FALSE,NA,NA
RT @proudjain1: While entire world is busy  in fighting against #COVID-19 our country is busy in fulfilling demands of the Arabs. Governmen,FALSE,0,NA,2020-04-30T04:05:35Z,FALSE,NA,1255709862505230336,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",hbjain1,76,TRUE,FALSE,NA,NA
"RT @GrimoldiPaolo: #COVID. #LOMBARDY ASKS FOR DAMAGES TO #CHINA.
Ready to send #China's Embassy a 20 billion damage request advance.
At nex",FALSE,0,NA,2020-04-30T04:05:34Z,FALSE,NA,1255709857639886849,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mkjai0401,33,TRUE,FALSE,NA,NA
"A mask for our time.
Massagatae war mask, 8th century  B.C. Kazakhstan.  Time to get assertive with this pandemic. https://t.co/iUd23ooRBy",FALSE,0,NA,2020-04-30T04:05:34Z,TRUE,NA,1255709857338007553,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Weastep,0,FALSE,FALSE,NA,NA
"RT @AfpFactual: La vacuna BCG, que se administra para prevenir la tuberculosis, podra tambin proteger contra el #COVID-19? 

Por ahora",FALSE,0,NA,2020-04-30T04:05:34Z,FALSE,NA,1255709855375122432,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",agustiina_,36,TRUE,FALSE,NA,NA
